x,y,z
4179.57,-3715.17,1532.05
4272.45,-3622.29,1529.39
4365.33,-3529.41,1525.2
4458.2,-3436.53,1521.81
4458.2,-3343.65,1519.62
4458.2,-3250.77,1517.43
4458.2,-3157.89,1514.77
4551.08,-3065.02,1510.31
4643.96,-3065.02,1508.98
4736.84,-2972.14,1508.19
4829.72,-2879.26,1506.66
4922.6,-2786.38,1506.39
5015.48,-2786.38,1505.66
5108.36,-2786.38,1505.4
5201.24,-2693.5,1505.46
5294.12,-2600.62,1503.34
5294.12,-2507.74,1498.28
5387,-2600.62,1495.36
5479.88,-2507.74,1488.71
5572.76,-2414.86,1485.72
5665.63,-2414.86,1485.32
5758.51,-2321.98,1479.27
5851.39,-2321.98,1473.62
5944.27,-2321.98,1468.71
6037.15,-2321.98,1463.12
6130.03,-2321.98,1457.94
6222.91,-2321.98,1452.95
6315.79,-2229.1,1449.76
6315.79,-2321.98,1447.83
6408.67,-2229.1,1444.05
6408.67,-2321.98,1442.18
6501.55,-2229.1,1438.26
6594.43,-2136.22,1435.4
6594.43,-2229.1,1432.48
6687.31,-2136.22,1426.9
6594.43,-2043.34,1417.46
6501.55,-1950.46,1409.95
6408.67,-1857.59,1401.31
6408.67,-1764.71,1400.51
6501.55,-1671.83,1390.87
6501.55,-1578.95,1392.8
6594.43,-1486.07,1388.68
6687.31,-1486.07,1393.26
6780.19,-1486.07,1396.25
6873.07,-1486.07,1408.42
6965.94,-1486.07,1413.27
7058.82,-1486.07,1406.03
7151.7,-1486.07,1411.74
7244.58,-1486.07,1411.21
7337.46,-1393.19,1435.47
7430.34,-1393.19,1454.81
7523.22,-1300.31,1464.98
7616.1,-1207.43,1475.29
7708.98,-1114.55,1459.2
7801.86,-1021.67,1453.82
7894.74,-1021.67,1458.07
7987.62,-928.793,1464.38
8080.5,-835.913,1473.69
8173.37,-835.913,1471.96
8266.25,-743.034,1482.93
8359.13,-650.155,1490.11
8452.01,-557.276,1496.22
8359.13,-557.276,1503
8452.01,-464.396,1510.11
8544.89,-371.517,1518.62
8637.77,-371.517,1521.95
8730.65,-464.396,1523.21
8823.53,-557.276,1528.26
8823.53,-464.396,1531.72
8730.65,-371.517,1533.38
8823.53,-371.517,1539.69
8916.41,-464.396,1545.74
8916.41,-371.517,1553.39
9009.29,-464.396,1556.64
9009.29,-371.517,1560.76
9102.17,-371.517,1564.69
9195.05,-278.638,1571.2
9287.93,-185.759,1579.37
9380.8,-185.759,1581.77
9473.68,-92.8793,1587.35
9473.68,3.63798e-12,1589.28
9566.56,92.8793,1589.61
9566.56,185.759,1593.67
9659.44,278.638,1601.38
9752.32,278.638,1603.7
9845.2,278.638,1606.76
9938.08,278.638,1608.89
10031,278.638,1611.28
10123.8,278.638,1614.4
10216.7,278.638,1616.2
10309.6,371.517,1617.26
10402.5,464.396,1623.51
10495.4,464.396,1623.44
10588.2,557.276,1625.97
10681.1,650.155,1626.23
10681.1,743.034,1627.63
10774,835.913,1628.23
10866.9,928.793,1629.49
10959.8,1021.67,1632.22
11052.6,1021.67,1633.21
11145.5,1021.67,1634.41
11238.4,1021.67,1634.88
11331.3,1114.55,1636.21
11424.1,1207.43,1636.34
11517,1300.31,1637.07
11609.9,1393.19,1640.72
11702.8,1393.19,1643.45
11795.7,1486.07,1646.18
11795.7,1578.95,1646.51
11888.5,1671.83,1646.37
11981.4,1764.71,1648.5
12074.3,1857.59,1649.96
12167.2,1950.46,1652.89
12260.1,2043.34,1654.82
12352.9,2136.22,1654.88
12445.8,2229.1,1660.13
12445.8,2321.98,1663.26
12445.8,2414.86,1665.85
12538.7,2507.74,1676.09
12538.7,2414.86,1679.48
12631.6,2507.74,1681.67
12724.5,2507.74,1688.91
12631.6,2414.86,1693.57
12724.5,2414.86,1697.22
12817.3,2507.74,1700.48
12817.3,2600.62,1700.81
12910.2,2693.5,1706.93
12910.2,2786.38,1714.64
13003.1,2786.38,1719.36
13003.1,2879.26,1725.14
13096,2879.26,1727.67
13096,2972.14,1731.25
13188.9,3065.02,1733.71
13188.9,3157.89,1736.11
13281.7,3250.77,1737.7
13374.6,3343.65,1745.08
13467.5,3436.53,1747.87
13560.4,3529.41,1750.53
13560.4,3622.29,1751.93
13653.3,3715.17,1755.58
